Time,Open,High,Low,Last,Change,Volume
2011-08-19 17:00,27681.24,27681.24,27681.24,27681.24,0,1344112
2011-08-19 16:00,27678.11,27681.24,27677.67,27681.24,6.88,28967018
2011-08-19 15:00,27625.14,27677.68,27620.61,27674.36,49.7,51951968
2011-08-19 14:00,27622.55,27629.91,27605.45,27624.66,2.37,18995454
2011-08-19 13:00,27641.69,27647.7,27621.97,27622.29,-19.03,17879601
2011-08-19 12:00,27626.49,27641.51,27619.39,27641.32,14.89,18671990
2011-08-19 11:00,27625.98,27635.6,27579.09,27626.43,0.52,22064017
2011-08-19 10:00,27601.72,27640.85,27578.97,27625.91,24.98,31104727
2011-08-19 9:00,27686.2,27694.95,27600.93,27600.93,-73.87,31159864
2011-07-19 17:00,27674.8,27674.8,27674.8,27674.8,0,4553596
2011-07-19 16:00,27680.57,27680.57,27674.73,27674.8,-3.49,44498329
2011-07-19 15:00,27695.52,27708.87,27635.56,27678.29,-17.43,45681905
2011-07-19 14:00,27726.14,27753.94,27655.69,27695.72,-30.46,27153273
2011-07-19 13:00,27751.8,27753.73,27715.73,27726.18,-25.54,20972519
2011-07-19 12:00,27769.12,27774.67,27720.3,27751.72,-17.96,22823926
2011-07-19 11:00,27749.73,27773.01,27706.76,27769.68,19.76,28821903
2011-07-19 10:00,27698.52,27761.02,27677.22,27749.92,51.31,37767695
2011-07-19 9:00,27590.16,27709.4,27590.16,27698.61,206.05,29974911
2011-06-19 17:00,27492.56,27492.56,27492.56,27492.56,0,5281600
2011-06-19 16:00,27491.41,27492.84,27491.07,27492.56,0.77,50564860
2011-06-19 15:00,27489.44,27499.31,27474.13,27491.79,2.32,39993100
2011-06-19 14:00,27499.11,27502,27470.01,27489.47,-9.78,16945311
2011-06-19 13:00,27458.12,27507.11,27434.38,27499.25,41.18,16732567
2011-06-19 12:00,27439.63,27471.87,27437.95,27458.07,18.33,18437216
2011-06-19 11:00,27477.95,27526.05,27407.81,27439.74,-38.71,32539931
2011-06-19 10:00,27499.41,27508.81,27464.5,27478.45,-18.94,32697350
2011-06-19 9:00,27502.74,27509.29,27451.01,27497.39,4.76,27605234
2011-05-19 17:00,27492.63,27492.63,27492.63,27492.63,0,7601489
2011-05-19 16:00,27493.28,27493.48,27492.43,27492.63,1.15,41087886
2011-05-19 15:00,27546.87,27550.06,27478.97,27491.48,-55.26,52066744
2011-05-19 14:00,27537.56,27554.93,27533.09,27546.74,9.89,26173893
2011-05-19 13:00,27520.5,27558.29,27511.06,27536.85,16.35,30666890
2011-05-19 12:00,27493.3,27521.8,27468.15,27520.5,26.52,22317885
2011-05-19 11:00,27479.1,27508.65,27479.1,27493.98,15.08,29246093
2011-05-19 10:00,27511.01,27560.36,27453.55,27478.9,-28.24,39891890
2011-05-19 9:00,27500.23,27524.96,27478.26,27507.14,45.03,33950063
2011-04-19 17:00,27462.11,27462.11,27462.11,27462.11,0,2965073
2011-04-19 16:00,27463.54,27464.08,27462.11,27462.11,2.41,37132568
2011-04-19 15:00,27447.09,27473.12,27407.48,27459.7,12.7,52142314
2011-04-19 14:00,27462.12,27470.86,27443.4,27447,-15.12,23774180
2011-04-19 13:00,27455.51,27464.91,27441.57,27462.12,6.6,22635852
2011-04-19 12:00,27454.44,27458.81,27432.17,27455.52,1.01,25690416
2011-04-19 11:00,27482.27,27498.53,27452.76,27454.51,-27.53,30719573
2011-04-19 10:00,27490.64,27504.18,27457.31,27482.04,-6.79,37139693
2011-04-19 9:00,27402.06,27517.58,27402.06,27488.83,141.47,40008992
2011-01-19 17:00,27347.36,27347.36,27347.36,27347.36,0,1199166
2011-01-19 16:00,27345.83,27347.43,27345.83,27347.36,4.54,44868935
2011-01-19 15:00,27297.07,27343.65,27282.2,27342.82,45.75,54937944
2011-01-19 14:00,27307.09,27309.84,27281.01,27297.07,-9.8,22635252
2011-01-19 13:00,27276.18,27322.57,27274.15,27306.87,30.61,22763828
2011-01-19 12:00,27305.72,27308.04,27267.79,27276.26,-29.21,22534695
2011-01-19 11:00,27298.78,27316.72,27280.35,27305.47,6.74,26937332
2011-01-19 10:00,27224.06,27306.69,27194.31,27298.73,74.59,41745217
2011-01-19 9:00,27142.95,27234.96,27142.95,27224.14,177.91,33555081
10/31/19 17:00,27046.23,27046.23,27046.23,27046.23,0,2923382
10/31/19 16:00,27047.13,27047.13,27045.87,27046.23,-3,73192992
10/31/19 15:00,26951.45,27056.2,26943.36,27049.23,97.79,51447780
10/31/19 14:00,26965.44,26975.43,26918.38,26951.44,-14.73,20662585
10/31/19 13:00,26957.31,26995.31,26948.21,26966.17,9.06,18638129
10/31/19 12:00,27013.87,27021.7,26919.87,26957.11,-57.21,20768170
10/31/19 11:00,27015.71,27033.95,26978.41,27014.32,0.29,24056549
10/31/19 10:00,27091.99,27092.17,26938.71,27014.03,-78.01,33254764
10/31/19 09:00,27188.37,27188.37,27090.89,27092.04,-94.65,27968329
10/30/19 16:00,27188.03,27189.13,27186.35,27186.69,-5.25,31604983
10/30/19 15:00,27143.18,27204.36,27142.27,27191.94,48.63,47510367
10/30/19 14:00,27047.19,27158.6,27032.14,27143.31,97.99,28932949
10/30/19 13:00,27088.8,27099.54,27044.01,27045.32,-43.09,20111581
10/30/19 12:00,27046.54,27107.73,27044.17,27088.41,41.71,20747240
10/30/19 11:00,27071.24,27081.56,27032.89,27046.7,-23.77,23027109
10/30/19 10:00,27060.37,27098.11,26999.64,27070.47,9.62,31108013
10/30/19 09:00,27110.71,27110.71,27019.63,27060.85,-10.57,28127741
10/29/19 17:00,27071.42,27071.42,27071.42,27071.42,-0.04,8189476
10/29/19 16:00,27068.82,27071.46,27068.82,27071.46,5.58,27753349
10/29/19 15:00,27064.41,27091.45,27059.69,27065.88,2.12,51868253
10/29/19 14:00,27113.84,27114.55,27063.76,27063.76,-50.37,24969892
10/29/19 13:00,27108.5,27119.58,27097.2,27114.13,5.2,21670691
