,created_at,text,datetime,label,onehot
0,2019-11-10 03:59:10,Make America Great Again! https://t.co/ffS9kLtjxE,2019-11-09 22:59:10,1,"[0, 0, 1]"
1,2019-11-10 03:49:14,Such an amazing game &amp; place! https://t.co/dGmXYxgKV5,2019-11-09 22:49:14,1,"[0, 0, 1]"
2,2019-11-10 02:43:40,https://t.co/KkZEHQMf8W https://t.co/DWb93QBKjB,2019-11-09 21:43:40,1,"[0, 0, 1]"
3,2019-11-10 02:10:33,“He is not a Whistleblower. He is a deepstater. Let the President do the job he was elected to do.” @JudgeJeanine,2019-11-09 21:10:33,1,"[0, 0, 1]"
4,2019-11-10 01:56:41,Such GREAT people! https://t.co/y5IgJXXfXf,2019-11-09 20:56:41,1,"[0, 0, 1]"
5,2019-11-10 01:42:50,Great! https://t.co/QlLjEHUR0G,2019-11-09 20:42:50,1,"[0, 0, 1]"
6,2019-11-10 01:38:40,Thank you Andrew. Meadow was watching and is so proud of her great father and family!,2019-11-09 20:38:40,1,"[0, 0, 1]"
7,2019-11-10 01:27:11,Thank you Terrence! https://t.co/flwd34IsOn,2019-11-09 20:27:11,1,"[0, 0, 1]"
8,2019-11-10 00:46:01,But the Fake News will never show this. Thank you! https://t.co/T8grDsDRvJ,2019-11-09 19:46:01,1,"[0, 0, 1]"
9,2019-11-10 00:40:13,Thank you to LSU and Alabama for a great game!,2019-11-09 19:40:13,1,"[0, 0, 1]"
10,2019-11-10 00:34:41,Totally! https://t.co/VqpNDMua5X,2019-11-09 19:34:41,1,"[0, 0, 1]"
11,2019-11-10 00:12:15,A terrible lie. How can she do such a thing? https://t.co/bSvlYI7dqe,2019-11-09 19:12:15,1,"[0, 0, 1]"
12,2019-11-10 00:02:26,Thank you Lee and David! https://t.co/cztdiqqiiH,2019-11-09 19:02:26,1,"[0, 0, 1]"
13,2019-11-09 19:31:10,95% Approval Rating in the Republican Party. Thank you! #MAGA #KAG2020,2019-11-09 14:31:10,1,"[0, 0, 1]"
